9808 100
7 111 3.263
7 152 4.372
7 157 3.866
7 165 4.036
7 168 2.474
7 181 3.588
7 226 3.62
7 281 4.261
7 285 3.957
7 305 2.73
7 326 3.164
7 336 2.995
7 381 3.482
7 459 4.155
7 480 2.551
7 483 3.028
8 92 2.28
8 113 2.487
8 118 1.818
8 153 1.956
8 231 1.696
8 294 2.181
8 298 2.529
8 325 1.66
8 336 1.467
8 363 1.379
8 381 1.898
8 401 1.915
8 427 1.423
8 429 1.93
8 436 1.635
9 18 2.842
9 49 3.065
9 95 2.071
9 131 2.369
9 144 2.604
9 153 2.459
9 173 2.404
9 198 1.971
9 251 2.085
9 288 2.469
9 289 2.361
9 296 2.159
9 312 2.402
9 327 2.465
9 462 2.711
9 482 1.899
9 488 2.199
10 24 2.153
10 44 2.823
10 146 1.678
10 152 3.332
10 164 1.96
10 212 2.453
10 252 1.979
10 254 3.116
10 260 2.14
10 309 3.083
10 318 2.645
10 344 2.609
10 371 2.499
10 400 2.575
10 418 2.792
10 462 2.902
10 484 2.378
10 493 3.353
10 494 2.881
11 33 1.47
11 50 1.632
11 67 1.722
11 166 2.282
11 175 1.831
11 195 2.222
11 261 2.003
11 277 2.102
11 279 2.418
11 296 1.689
11 323 1.911
11 336 1.387
11 339 1.633
11 341 2.078
11 355 1.561
11 383 1.836
11 393 2.011
11 408 1.411
11 479 1.827
12 22 4.167
12 30 4.383
12 36 4.105
12 48 3.353
12 80 3.483
12 88 2.409
12 147 3.0
12 164 2.946
12 199 3.776
12 200 3.533
12 220 2.467
12 230 3.011
12 239 4.061
12 268 4.245
12 298 3.817
12 318 3.885
12 321 3.017
12 385 2.55
12 398 2.641
12 404 2.944
12 431 3.145
12 461 2.556
12 492 2.874
13 20 1.711
13 47 2.212
13 88 1.968
13 95 1.783
13 124 2.933
13 142 2.006
13 148 1.77
13 184 2.179
13 197 1.887
13 271 2.111
13 300 2.498
13 342 2.462
13 359 2.099
13 367 2.238
13 446 2.615
13 463 2.034
14 0 2.681
14 7 2.791
14 21 1.831
14 47 2.844
14 58 3.089
14 61 2.953
14 70 2.232
14 159 2.045
14 168 1.649
14 198 1.93
14 277 3.095
14 294 2.628
14 334 2.74
14 354 2.601
14 389 2.771
14 409 1.448
14 411 2.759
14 418 2.503
14 426 1.924
14 471 2.539
14 478 2.666
14 490 2.258
15 17 3.085
15 86 2.64
15 95 2.952
15 100 2.765
15 110 2.692
15 140 2.886
15 147 2.75
15 154 3.119
15 275 2.833
15 294 2.947
15 303 2.139
15 317 3.223
15 344 2.821
15 366 2.881
15 385 2.462
15 464 2.699
15 471 2.641
16 27 1.523
16 63 2.504
16 65 2.486
16 89 2.565
16 92 2.738
16 113 2.707
16 174 1.923
16 189 2.955
16 198 1.737
16 227 1.795
16 243 2.513
16 249 1.686
16 252 2.059
16 300 2.404
16 349 1.641
16 378 2.356
16 413 2.07
17 70 2.297
17 156 2.687
17 162 2.726
17 166 2.853
17 252 1.915
17 276 3.23
17 279 3.356
17 300 2.585
17 304 2.732
17 356 2.74
17 362 2.092
17 401 2.375
17 406 1.754
17 412 2.364
17 427 1.936
17 433 2.289
17 448 1.874
17 469 1.9
17 482 2.017
17 493 3.276
18 15 2.091
18 42 2.592
18 127 2.603
18 130 1.508
18 218 2.242
18 224 2.344
18 246 1.697
18 287 2.212
18 290 2.683
18 301 2.272
18 314 1.801
18 315 2.599
18 318 2.226
18 334 2.174
18 391 2.674
18 434 2.133
18 442 1.782
18 445 2.532
18 447 2.355
19 12 1.421
19 19 1.46
19 37 1.946
19 64 1.424
19 79 1.759
19 83 1.61
19 85 1.67
19 112 1.794
19 118 1.868
19 133 1.982
19 164 1.533
19 178 1.656
19 196 1.98
19 214 2.089
19 236 1.258
19 240 1.906
19 258 2.391
19 269 1.836
19 305 1.326
19 385 1.876
19 423 1.811
20 3 2.988
20 43 2.55
20 44 2.848
20 51 2.164
20 72 2.502
20 78 2.834
20 96 2.094
20 132 2.545
20 133 2.749
20 137 2.323
20 143 2.24
20 146 1.46
20 150 2.42
20 151 2.73
20 184 2.494
20 239 2.505
20 286 2.943
20 302 2.887
20 332 2.741
20 349 1.92
20 371 2.118
20 388 2.299
20 408 1.677
20 413 2.403
20 437 2.978
20 496 2.167
21 14 2.653
21 41 2.042
21 51 2.15
21 71 2.06
21 109 2.181
21 126 1.623
21 161 2.252
21 219 2.208
21 226 2.06
21 256 2.02
21 286 2.503
21 299 2.316
21 304 2.76
21 335 1.794
21 342 2.128
21 358 1.91
21 370 2.6
21 407 2.036
21 414 2.407
21 439 2.413
21 450 1.672
21 455 2.21
22 12 1.735
22 14 1.79
22 22 1.838
22 41 1.911
22 114 2.374
22 122 1.441
22 128 1.349
22 146 1.268
22 153 1.557
22 157 1.987
22 182 2.129
22 213 2.108
22 247 1.601
22 276 2.343
22 331 1.868
22 369 1.664
22 396 1.933
22 428 1.496
22 453 1.85
22 455 1.697
22 494 2.008
23 45 2.523
23 68 2.344
23 72 2.643
23 98 2.884
23 157 2.627
23 176 2.269
23 184 2.615
23 199 3.015
23 311 1.787
23 318 2.621
23 353 3.265
23 400 2.321
23 406 1.956
23 424 2.277
23 491 2.76
24 1 2.538
24 30 2.57
24 60 2.642
24 64 1.306
24 66 3.105
24 91 2.768
24 107 2.337
24 168 1.452
24 181 2.505
24 190 2.674
24 210 2.049
24 276 2.881
24 277 2.939
24 335 1.586
24 360 1.481
24 401 1.839
24 422 1.589
24 444 1.937
24 448 2.071
24 487 2.443
24 491 2.568
24 497 1.845
25 2 2.339
25 10 2.896
25 39 2.492
25 95 1.61
25 108 2.238
25 130 1.604
25 170 2.085
25 199 2.917
25 260 2.156
25 278 1.246
25 284 1.716
25 290 2.92
25 337 2.888
25 446 2.713
25 455 2.401
25 465 1.82
25 486 2.629
25 492 2.179
26 5 3.091
26 10 4.062
26 32 3.834
26 73 2.739
26 78 4.057
26 98 3.608
26 115 4.505
26 129 3.322
26 148 3.201
26 155 3.308
26 191 4.085
26 201 3.984
26 221 3.762
26 233 2.488
26 234 3.898
26 354 3.731
26 399 3.045
26 477 3.436
26 485 2.862
26 490 2.971
27 21 1.72
27 26 2.414
27 27 1.919
27 42 2.644
27 53 2.469
27 90 2.314
27 107 2.872
27 132 2.738
27 142 2.333
27 143 2.147
27 151 2.806
27 166 3.026
27 217 3.016
27 249 2.448
27 269 2.742
27 295 2.424
27 321 2.404
27 338 3.039
27 355 2.733
27 372 1.984
27 404 2.587
27 471 2.587
27 499 2.678
28 14 3.119
28 26 3.152
28 50 2.584
28 81 4.21
28 82 3.3
28 96 2.733
28 127 3.351
28 194 3.112
28 228 3.831
28 258 3.148
28 280 3.603
28 305 2.176
28 324 2.643
28 344 3.566
28 369 2.175
28 419 3.028
28 484 3.581
29 4 2.639
29 5 2.703
29 36 3.303
29 77 2.963
29 92 3.461
29 165 3.193
29 180 3.141
29 190 2.667
29 208 3.315
29 230 2.466
29 267 2.771
29 280 3.152
29 343 3.249
29 398 2.097
29 409 1.867
29 419 2.557
30 17 2.425
30 56 2.74
30 58 2.266
30 62 3.095
30 95 2.071
30 101 2.569
30 148 2.388
30 156 2.665
30 186 2.245
30 207 2.826
30 223 2.835
30 229 2.36
30 263 2.552
30 267 2.511
30 299 2.531
30 318 2.411
30 341 2.63
30 352 2.277
30 354 2.644
30 358 2.196
30 413 2.548
30 483 2.235
31 11 2.869
31 30 3.327
31 66 3.514
31 98 3.056
31 118 2.682
31 141 2.889
31 192 2.711
31 195 2.87
31 203 2.936
31 213 3.481
31 225 2.908
31 235 2.763
31 274 2.816
31 354 2.466
31 377 2.437
31 425 2.622
31 429 2.766
31 438 4.007
31 440 2.418
31 496 2.805
32 42 2.721
32 67 3.027
32 91 3.413
32 147 2.622
32 164 2.548
32 205 3.451
32 216 3.187
32 259 2.384
32 320 2.694
32 405 3.363
32 443 2.125
32 450 2.567
32 461 2.34
32 480 2.463
32 488 2.471
33 22 2.744
33 33 2.168
33 51 2.094
33 70 2.024
33 101 2.306
33 117 2.827
33 167 1.784
33 195 2.763
33 213 2.558
33 265 1.618
33 312 2.211
33 316 2.816
33 354 2.739
33 380 1.071
33 431 2.376
33 439 2.422
33 482 1.547
34 103 1.962
34 111 1.763
34 178 2.264
34 215 2.713
34 274 2.197
34 283 2.072
34 284 1.696
34 299 2.29
34 340 2.137
34 347 2.251
34 411 2.424
34 461 2.025
34 468 2.523
35 15 1.901
35 65 2.167
35 167 2.146
35 202 2.124
35 209 1.71
35 210 2.22
35 215 2.36
35 270 2.423
35 310 2.855
35 322 1.916
35 355 1.672
35 395 2.088
35 409 1.85
35 452 2.295
35 462 2.209
35 476 2.34
35 487 2.735
36 61 3.25
36 73 2.528
36 90 2.748
36 122 2.45
36 138 2.335
36 139 2.576
36 154 2.708
36 165 3.805
36 192 2.868
36 209 2.454
36 236 2.855
36 238 3.17
36 241 3.242
36 265 2.575
36 279 4.197
36 297 3.165
36 333 2.988
36 376 2.829
36 428 3.039
36 447 2.935
36 469 2.381
36 496 2.976
37 35 1.994
37 148 2.028
37 159 2.519
37 202 2.316
37 287 1.725
37 294 2.752
37 321 2.647
37 322 2.745
37 326 2.077
37 334 2.738
37 343 3.047
37 349 2.204
37 356 2.639
37 391 2.479
37 403 3.003
37 439 2.918
37 467 2.739
37 481 3.341
37 495 2.076
38 28 1.511
38 33 1.679
38 37 2.292
38 59 1.829
38 87 1.362
38 112 2.428
38 149 2.186
38 150 2.556
38 201 1.796
38 219 1.973
38 243 2.426
38 245 2.047
38 251 2.075
38 284 1.24
38 336 1.665
38 339 1.748
38 353 2.293
38 362 1.859
38 387 2.294
38 400 2.236
38 403 2.268
38 444 1.426
38 487 1.987
39 43 1.867
39 74 2.314
39 107 1.825
39 121 2.171
39 161 2.416
39 195 2.414
39 199 2.496
39 218 2.264
39 222 2.274
39 242 2.101
39 289 1.796
39 311 1.265
39 316 2.398
39 375 2.384
39 380 0.677
39 388 1.91
39 427 1.571
40 12 2.338
40 13 2.485
40 40 2.356
40 73 2.621
40 81 3.592
40 97 2.162
40 111 2.462
40 195 2.714
40 203 2.79
40 247 2.177
40 297 2.821
40 334 2.711
40 369 1.769
40 377 2.608
40 398 2.207
40 401 2.495
40 404 2.075
40 453 3.123
40 469 2.093
40 498 2.782
40 499 2.846
41 21 1.209
41 39 1.996
41 80 2.252
41 111 2.001
41 132 2.025
41 135 1.888
41 161 1.891
41 163 2.022
41 168 1.342
41 194 1.818
41 262 1.396
41 307 2.083
41 311 1.735
41 338 2.199
41 345 2.143
41 375 2.586
41 376 1.957
41 382 2.512
41 407 2.024
41 453 2.588
42 22 3.4
42 33 2.555
42 42 2.748
42 103 2.418
42 104 3.035
42 163 2.73
42 188 2.876
42 217 2.402
42 224 2.65
42 239 3.072
42 279 3.453
42 291 3.235
42 297 2.775
42 347 2.546
42 394 3.137
42 446 3.127
42 498 2.893
43 20 2.824
43 36 4.03
43 48 3.039
43 55 3.461
43 124 3.769
43 139 3.183
43 141 3.588
43 167 3.141
43 196 3.933
43 237 2.244
43 239 3.92
43 273 3.895
43 321 3.268
43 357 3.677
43 388 3.506
43 418 3.467
43 434 2.618
43 451 3.231
43 493 4.111
44 19 2.359
44 61 3.457
44 87 2.004
44 90 2.486
44 110 2.82
44 114 3.609
44 152 3.469
44 193 3.066
44 195 3.547
44 218 3.173
44 263 3.049
44 268 3.427
44 286 3.481
44 297 3.224
44 325 3.42
44 387 3.985
44 406 2.826
44 453 3.683
45 9 2.406
45 25 2.852
45 27 1.937
45 35 2.393
45 38 2.657
45 46 2.41
45 48 2.458
45 49 3.031
45 89 3.155
45 126 2.675
45 185 2.299
45 192 2.554
45 249 2.252
45 255 3.996
45 284 2.364
45 310 3.04
45 369 2.03
45 377 2.521
45 427 2.507
45 468 1.82
45 480 2.057
46 0 2.941
46 74 3.409
46 109 2.877
46 161 3.02
46 180 3.466
46 181 2.984
46 199 3.874
46 204 2.681
46 211 3.263
46 227 2.466
46 236 2.331
46 269 2.672
46 345 2.396
46 358 2.785
46 359 2.589
46 394 3.572
46 396 2.797
46 424 3.145
46 456 2.773
46 471 3.287
46 480 2.231
46 482 1.98
47 26 1.699
47 54 2.367
47 80 2.019
47 122 1.187
47 170 1.629
47 185 1.615
47 199 2.02
47 209 1.494
47 237 1.005
47 243 2.055
47 247 1.141
47 250 1.377
47 259 1.857
47 275 1.468
47 282 2.268
47 308 2.103
47 364 1.267
47 409 1.506
47 423 1.706
47 427 1.673
47 435 1.477
48 53 2.416
48 81 3.633
48 82 2.851
48 102 2.568
48 108 2.487
48 132 2.709
48 154 2.776
48 170 2.393
48 196 2.876
48 238 2.29
48 241 2.826
48 244 1.742
48 263 2.531
48 265 2.553
48 297 2.442
48 354 2.166
48 399 2.485
48 400 2.991
48 405 3.181
48 460 2.665
49 21 2.176
49 90 2.495
49 187 2.835
49 207 3.271
49 241 2.661
49 242 2.7
49 267 2.423
49 281 3.238
49 299 2.635
49 319 2.278
49 349 2.504
49 368 2.107
49 384 2.738
49 423 2.738
49 463 2.619
49 476 2.606
50 46 2.143
50 65 3.042
50 86 2.358
50 110 2.25
50 190 2.488
50 202 2.589
50 216 3.155
50 229 2.747
50 261 2.47
50 271 2.231
50 305 1.828
50 315 2.727
50 327 2.306
50 332 3.296
50 341 3.28
50 358 2.25
50 485 1.926
50 493 3.137
51 59 2.679
51 64 1.937
51 73 2.398
51 81 3.122
51 91 2.768
51 98 2.621
51 113 3.132
51 119 2.463
51 146 1.791
51 184 2.085
51 196 2.852
51 263 2.127
51 309 2.689
51 327 2.823
51 351 2.092
51 381 2.633
51 389 2.086
51 427 1.985
51 484 3.061
51 488 2.517
51 497 1.62
52 1 1.856
52 65 2.174
52 128 1.895
52 165 2.571
52 176 2.255
52 177 1.674
52 202 1.81
52 247 1.621
52 289 2.07
52 311 1.215
52 351 1.722
52 356 1.763
52 363 1.395
52 373 2.311
52 383 1.574
52 389 2.169
52 447 2.057
52 492 1.821
52 499 1.786
53 14 3.18
53 19 1.698
53 41 1.987
53 44 3.11
53 63 3.248
53 67 2.479
53 86 2.365
53 122 2.034
53 147 2.348
53 163 2.588
53 175 2.72
53 191 3.426
53 293 2.392
53 318 3.281
53 320 2.778
53 365 2.82
53 378 2.447
53 386 3.104
53 402 2.673
53 410 3.005
53 458 3.126
53 472 2.547
53 489 2.77
54 19 2.46
54 24 1.952
54 41 2.568
54 46 2.872
54 76 2.877
54 117 3.037
54 145 2.416
54 159 2.445
54 194 2.59
54 215 2.696
54 224 2.939
54 244 2.065
54 248 3.63
54 266 2.211
54 285 2.643
54 311 2.278
54 327 2.619
54 331 2.397
54 337 3.487
54 365 3.003
54 402 3.511
54 421 3.666
54 426 1.98
54 454 2.622
54 479 2.718
55 7 2.589
55 15 2.173
55 113 2.992
55 121 2.834
55 125 2.393
55 158 3.063
55 170 2.039
55 204 2.338
55 293 2.379
55 339 2.351
55 354 2.739
55 406 1.805
55 412 2.261
55 421 2.883
55 443 2.043
55 457 2.495
55 489 2.574
55 491 3.041
56 11 2.686
56 30 2.558
56 42 2.144
56 67 2.674
56 70 1.846
56 78 3.055
56 85 2.19
56 107 1.84
56 115 2.72
56 156 2.573
56 192 1.993
56 252 2.039
56 274 2.145
56 295 2.329
56 383 1.862
56 412 2.256
56 418 2.189
56 421 2.809
56 473 2.54
56 474 2.933
56 475 2.131
57 43 3.014
57 88 1.939
57 96 2.387
57 97 2.121
57 128 2.159
57 132 2.776
57 164 2.256
57 165 3.046
57 187 2.633
57 191 3.295
57 200 3.231
57 235 2.802
57 236 2.088
57 243 2.897
57 303 2.092
57 312 2.751
57 325 2.686
58 15 2.806
58 52 3.615
58 57 3.215
58 68 3.143
58 80 3.211
58 104 3.638
58 115 4.315
58 211 3.596
58 226 3.343
58 239 3.602
58 256 3.233
58 269 2.99
58 306 3.444
58 316 3.937
58 321 2.838
58 323 2.944
58 410 3.543
58 412 2.987
58 431 2.96
58 445 3.777
58 480 2.664
58 489 3.677
59 31 2.115
59 107 1.929
59 122 1.435
59 132 1.85
59 220 1.571
59 226 1.801
59 253 1.688
59 268 2.416
59 293 1.697
59 294 2.059
59 302 1.925
59 317 1.71
59 345 1.41
59 358 1.259
59 382 1.996
59 394 2.12
59 397 1.827
59 433 1.522
59 455 1.794
59 460 1.601
59 481 1.905
60 2 3.126
60 28 2.012
60 51 2.735
60 76 3.078
60 95 2.421
60 122 2.246
60 141 2.801
60 146 1.74
60 198 2.355
60 212 2.556
60 219 2.69
60 240 2.242
60 267 2.501
60 290 3.095
60 361 2.011
60 363 2.108
60 417 1.923
61 18 3.254
61 103 2.085
61 114 3.343
61 141 2.764
61 269 3.103
61 312 2.862
61 356 2.807
61 427 1.917
61 441 3.451
61 457 2.854
61 498 2.859
61 499 2.803
62 38 3.204
62 95 2.618
62 100 2.821
62 133 3.805
62 149 3.492
62 150 3.2
62 165 4.026
62 224 3.365
62 247 1.931
62 259 2.914
62 264 3.493
62 287 2.959
62 326 3.119
62 340 2.967
62 374 4.163
62 388 3.209
62 391 3.746
62 397 3.375
62 410 3.78
62 456 3.208
63 5 2.776
63 49 4.15
63 53 2.844
63 80 3.216
63 112 3.406
63 119 2.966
63 137 2.407
63 146 1.963
63 148 2.526
63 149 3.409
63 246 2.442
63 288 2.862
63 310 3.362
63 329 1.557
63 332 2.961
63 345 2.698
63 348 2.846
63 360 2.395
63 371 2.777
63 425 2.301
63 442 2.161
63 450 2.536
64 18 2.064
64 41 1.883
64 81 2.836
64 85 1.571
64 91 2.316
64 97 1.899
64 132 2.017
64 164 1.602
64 176 1.918
64 241 2.434
64 327 2.215
64 329 1.101
64 332 1.77
64 337 2.511
64 373 2.144
64 385 1.487
64 405 2.51
64 432 1.542
64 475 1.88
65 89 3.258
65 91 2.843
65 155 2.243
65 184 2.549
65 211 2.45
65 222 2.287
65 226 2.329
65 251 1.934
65 305 1.869
65 319 2.377
65 386 2.652
65 414 1.956
65 486 3.012
65 487 2.253
66 62 3.06
66 66 2.571
66 86 2.348
66 91 2.304
66 172 2.406
66 194 1.762
66 227 1.209
66 229 1.95
66 297 2.356
66 302 2.608
66 325 2.02
66 357 1.986
66 369 1.661
66 372 1.693
66 377 2.244
66 382 2.92
66 404 2.018
67 7 3.405
67 8 2.667
67 14 3.257
67 17 2.818
67 29 2.513
67 33 3.203
67 42 3.266
67 45 3.288
67 48 3.07
67 60 3.828
67 64 1.819
67 80 3.111
67 96 3.021
67 182 3.052
67 184 2.857
67 286 3.6
67 366 2.929
67 367 2.568
67 394 3.247
67 398 2.328
67 465 2.212
67 496 2.848
68 29 1.254
68 48 1.235
68 74 1.768
68 86 1.32
68 137 1.376
68 142 1.742
68 153 2.242
68 177 1.611
68 199 1.937
68 203 1.669
68 224 1.639
68 248 1.969
68 300 1.95
68 338 2.125
68 348 1.773
68 360 1.374
68 413 1.684
68 431 1.541
68 443 1.343
68 447 1.457
68 448 1.58
68 499 1.753
69 20 1.965
69 32 2.463
69 34 2.658
69 45 2.484
69 107 2.583
69 128 2.047
69 131 2.757
69 138 1.94
69 141 2.58
69 147 2.302
69 159 2.153
69 174 2.539
69 288 2.15
69 300 2.436
69 332 2.489
69 346 1.814
69 372 1.626
69 425 2.123
69 457 2.438
69 468 1.777
69 498 2.505
70 9 2.484
70 92 3.042
70 102 2.357
70 124 3.098
70 156 3.173
70 166 3.218
70 171 3.023
70 231 3.077
70 258 2.939
70 353 3.46
70 374 2.913
70 408 1.775
70 444 2.495
70 453 2.714
70 471 2.696
70 497 2.243
71 4 2.933
71 47 2.917
71 82 3.209
71 138 2.218
71 169 2.828
71 193 3.176
71 226 3.257
71 258 2.978
71 266 2.236
71 297 3.235
71 299 3.133
71 314 2.49
71 332 3.255
71 371 2.856
71 375 3.456
71 409 2.042
71 411 2.834
71 425 2.452
71 496 2.775
72 46 1.967
72 64 1.499
72 77 2.623
72 132 2.404
72 200 2.135
72 204 1.916
72 210 2.697
72 221 2.252
72 227 1.649
72 274 2.352
72 276 2.956
72 293 1.981
72 297 2.481
72 332 2.511
72 379 1.999
72 381 2.296
72 382 3.017
72 415 2.106
72 435 2.192
72 457 2.754
72 462 2.467
72 463 1.968
72 475 2.182
72 477 2.201
73 8 2.251
73 104 3.181
73 136 2.904
73 139 2.18
73 143 2.377
73 155 2.382
73 161 2.618
73 167 2.518
73 196 2.184
73 205 2.84
73 227 2.26
73 250 2.023
73 264 2.698
73 294 3.259
73 308 3.149
73 332 3.191
73 363 2.546
73 366 2.552
73 368 2.585
73 423 2.549
73 483 2.508
73 496 2.781
73 497 2.2
74 46 2.394
74 77 3.487
74 96 2.358
74 105 2.367
74 138 2.193
74 149 3.336
74 162 2.965
74 179 3.433
74 188 2.956
74 236 2.272
74 254 3.304
74 277 3.258
74 285 2.666
74 295 2.484
74 323 2.814
74 324 2.975
74 360 2.112
74 362 2.446
74 413 3.284
74 414 3.159
75 56 2.274
75 116 1.321
75 182 2.157
75 204 1.575
75 206 1.992
75 234 2.333
75 255 2.911
75 294 2.385
75 343 2.436
75 346 1.861
75 355 1.862
76 36 2.656
76 91 3.104
76 94 2.868
76 174 2.34
76 198 1.886
76 201 2.513
76 210 2.543
76 213 2.784
76 218 2.543
76 284 1.836
76 294 2.701
76 298 2.467
76 303 1.729
76 361 1.591
76 445 2.3
77 24 2.143
77 94 3.351
77 107 2.594
77 111 2.227
77 134 1.995
77 184 2.362
77 192 2.594
77 226 2.399
77 243 2.884
77 245 2.89
77 268 3.18
77 303 2.125
77 349 1.514
77 350 2.135
77 366 2.775
77 381 2.982
77 410 2.491
77 426 2.223
77 430 2.36
77 436 2.274
77 474 2.995
77 487 2.591
78 1 2.308
78 17 2.781
78 27 1.759
78 38 2.601
78 75 2.29
78 95 2.38
78 106 1.604
78 169 2.8
78 225 2.637
78 229 2.702
78 261 2.61
78 290 2.85
78 292 2.92
78 296 2.018
78 323 2.378
78 342 2.265
78 362 2.151
78 387 2.842
78 396 2.088
78 420 2.585
78 429 2.428
78 434 2.337
78 470 1.826
79 48 3.057
79 49 3.696
79 76 3.295
79 95 2.635
79 120 2.274
79 123 2.68
79 133 3.833
79 171 3.165
79 234 3.284
79 290 3.448
79 295 2.546
79 325 2.376
79 330 3.301
79 423 2.801
79 460 2.855
79 461 2.47
80 5 2.556
80 44 2.684
80 58 2.381
80 75 2.041
80 88 1.949
80 106 1.67
80 117 2.984
80 122 2.05
80 188 2.691
80 211 2.743
80 220 1.972
80 231 2.394
80 237 1.666
80 249 2.153
80 265 1.842
80 293 2.002
80 327 2.088
80 398 1.658
80 452 2.247
81 2 3.061
81 76 2.791
81 129 2.964
81 140 2.533
81 198 2.465
81 214 3.291
81 220 2.163
81 222 2.628
81 256 3.026
81 266 2.872
81 288 2.836
81 294 2.995
81 313 3.376
81 333 3.129
81 342 3.185
81 429 4.05
81 455 2.658
81 484 3.488
81 490 2.66
81 497 1.964
82 17 2.675
82 70 2.672
82 72 3.169
82 95 2.904
82 108 2.871
82 138 2.565
82 149 3.696
82 168 1.924
82 181 3.251
82 210 2.843
82 214 3.547
82 241 3.121
82 295 2.823
82 303 2.392
82 322 2.971
82 325 2.92
82 330 3.765
82 358 2.689
82 370 3.698
82 499 2.754
83 38 2.121
83 89 2.018
83 107 1.734
83 145 1.541
83 151 2.321
83 157 1.973
83 196 2.177
83 204 2.04
83 263 1.705
83 269 2.083
83 272 1.653
83 290 2.249
83 301 1.862
83 306 1.613
83 312 1.818
83 321 2.001
83 361 1.594
83 366 2.348
83 385 1.776
83 386 2.256
83 399 1.347
83 460 1.485
83 467 2.094
84 9 2.755
84 23 3.232
84 103 2.332
84 133 3.166
84 141 2.988
84 167 2.21
84 195 3.033
84 224 2.419
84 229 2.563
84 247 2.026
84 252 2.242
84 258 2.945
84 268 3.131
84 275 2.297
84 302 3.302
84 369 2.161
84 468 2.0
84 470 1.743
84 487 3.028
85 16 2.44
85 45 2.42
85 84 2.145
85 88 1.726
85 108 2.326
85 111 2.319
85 116 1.798
85 124 2.848
85 167 2.122
85 174 2.612
85 194 2.292
85 204 2.602
85 226 2.293
85 235 2.133
85 246 1.709
85 247 1.861
85 308 3.06
85 312 2.04
85 356 2.396
85 419 2.288
85 426 2.077
85 465 1.434
85 468 2.125
85 499 2.474
86 27 2.248
86 43 2.278
86 48 2.768
86 67 2.742
86 121 3.711
86 155 2.553
86 164 2.237
86 202 2.963
86 205 2.721
86 212 2.614
86 306 2.611
86 344 2.167
86 381 2.994
86 386 2.986
86 434 2.121
86 439 3.164
86 444 2.313
86 448 2.014
86 456 2.869
86 473 3.1
86 486 3.6
86 491 3.439
87 9 1.623
87 34 1.984
87 59 2.052
87 94 2.031
87 118 1.433
87 138 1.822
87 157 1.613
87 174 1.616
87 208 2.104
87 250 1.445
87 273 2.279
87 285 2.045
87 296 2.008
87 336 1.682
87 394 2.344
87 431 1.774
87 440 1.862
87 467 2.094
87 490 1.989
88 3 3.202
88 34 2.463
88 79 2.756
88 91 3.28
88 98 2.695
88 193 2.786
88 216 3.435
88 266 2.607
88 267 2.445
88 287 2.794
88 293 2.295
88 343 3.112
88 357 2.617
88 362 1.921
88 376 2.473
88 386 2.989
88 405 3.046
88 407 2.739
88 437 3.474
88 451 2.255
88 455 3.103
88 479 2.695
89 6 2.686
89 45 2.979
89 55 2.657
89 58 2.901
89 99 2.25
89 123 2.472
89 155 2.373
89 179 3.071
89 193 2.444
89 207 3.237
89 212 2.146
89 292 3.281
89 328 2.478
89 418 2.463
89 431 2.797
