31249 1000
9 330 3.563
9 358 7.867
9 365 3.178
9 373 0.554
9 374 0.365
9 448 2.449
9 453 2.786
9 527 0.142
9 565 6.689
9 588 2.985
9 618 2.46
9 651 7.366
9 660 2.579
9 682 4.249
9 708 0.236
9 715 1.447
9 752 2.828
9 784 4.3
9 789 2.359
9 792 4.358
10 12 1.656
10 14 5.255
10 22 3.333
10 34 3.999
10 66 2.629
10 81 9.449
10 95 1.81
10 111 7.359
10 117 5.91
10 140 6.193
10 157 4.4
10 166 4.364
10 170 2.846
10 191 4.901
10 194 4.051
10 196 4.409
10 216 5.201
10 290 7.11
10 302 0.539
10 306 0.167
10 327 1.193
10 362 5.284
10 375 0.709
10 385 6.29
10 387 6.378
10 413 4.072
10 456 6.775
10 496 5.43
10 518 0.659
10 555 4.992
10 569 0.615
10 613 2.308
10 635 5.201
10 643 0.841
10 653 2.055
10 658 3.836
10 661 4.157
10 682 4.438
10 683 0.497
10 780 3.338
10 798 3.048
11 32 0.735
11 53 0.488
11 54 1.244
11 88 6.701
11 147 0.602
11 171 1.432
11 192 10.303
11 204 0.709
11 240 1.529
11 293 0.025
11 296 6.67
11 301 0.708
11 312 6.134
11 392 2.296
11 410 4.622
11 424 0.579
11 461 0.582
11 471 0.205
11 505 2.203
11 515 2.252
11 527 0.036
11 536 3.627
11 543 1.946
11 549 1.465
11 572 2.36
11 619 5.456
11 656 0.729
11 702 2.213
11 725 4.018
11 728 2.374
11 757 0.839
11 760 1.556
11 779 1.741
11 782 0.821
11 785 2.77
11 790 1.564
11 799 1.282
12 7 3.373
12 38 4.191
12 39 0.013
12 40 1.717
12 58 1.664
12 76 3.207
12 86 3.473
12 164 1.11
12 170 4.031
12 172 1.991
12 204 3.357
12 208 1.475
12 215 1.469
12 219 0.082
12 229 1.015
12 235 2.586
12 256 5.011
12 276 0.912
12 289 3.299
12 303 3.622
12 305 0.583
12 307 1.914
12 340 2.493
12 345 0.736
12 388 2.286
12 418 1.489
12 426 2.087
12 492 3.585
12 510 4.29
12 547 3.913
12 563 3.726
12 568 0.945
12 587 1.721
12 604 2.533
12 621 3.153
12 624 3.323
12 678 2.617
12 714 2.894
12 746 0.145
12 779 1.678
13 19 3.327
13 46 5.856
13 47 3.502
13 61 4.418
13 67 1.835
13 79 2.376
13 106 1.633
13 112 4.214
13 132 2.783
13 137 5.245
13 157 0.328
13 194 0.458
13 203 3.774
13 207 7.888
13 211 8.148
13 216 2.067
13 227 5.026
13 288 7.18
13 346 3.807
13 350 5.983
13 388 5.333
13 444 2.791
13 446 0.755
13 455 1.224
13 464 5.533
13 497 2.853
13 552 4.598
13 587 4.126
13 592 2.074
13 614 2.674
13 631 1.477
13 632 3.346
13 639 0.81
13 650 2.171
13 654 0.866
13 662 6.255
13 695 3.065
13 707 7.339
13 735 4.517
13 760 6.319
13 767 0.793
13 768 3.264
13 785 1.89
14 6 1.402
14 45 3.366
14 62 4.108
14 82 4.476
14 97 1.588
14 98 7.609
14 108 0.916
14 148 2.436
14 157 1.675
14 164 1.397
14 171 3.884
14 203 1.832
14 228 2.976
14 255 7.733
14 260 0.517
14 310 2.479
14 313 3.937
14 324 4.004
14 330 4.006
14 334 1.023
14 346 1.589
14 364 5.801
14 404 10.182
14 406 0.153
14 463 2.921
14 478 2.078
14 516 5.051
14 553 4.927
14 604 7.186
14 633 2.536
14 637 1.21
14 638 0.683
14 647 1.46
14 660 5.805
14 696 6.712
14 704 3.196
14 727 2.463
14 733 6.255
14 741 0.367
14 764 1.876
15 0 2.7
15 4 1.035
15 42 1.984
15 89 2.845
15 116 3.322
15 139 3.005
15 176 2.162
15 213 1.883
15 217 0.441
15 225 1.817
15 285 1.309
15 294 3.88
15 316 0.028
15 324 3.916
15 330 2.609
15 341 3.572
15 373 7.47
15 412 3.666
15 474 0.944
15 478 1.862
15 535 2.416
15 539 4.199
15 577 2.631
15 599 1.531
15 626 3.404
15 644 3.751
15 705 8.233
15 710 1.284
15 734 0.596
15 737 1.57
15 743 2.786
15 754 3.27
15 773 0.509
15 778 2.971
15 780 1.169
16 3 4.993
16 51 0.253
16 52 3.612
16 69 3.817
16 92 0.603
16 108 5.452
16 114 1.667
16 117 3.173
16 137 0.04
16 164 5.028
16 167 3.927
16 175 2.366
16 176 5.095
16 177 5.95
16 212 3.077
16 236 1.679
16 311 2.863
16 314 0.817
16 329 5.442
16 335 6.803
16 350 7.805
16 353 5.25
16 386 2.947
16 405 0.864
16 441 5.245
16 462 0.02
16 463 5.783
16 471 0.438
16 476 0.307
16 484 2.859
16 497 1.149
16 522 5.221
16 528 2.903
16 556 6.745
16 566 2.181
16 576 5.244
16 662 1.481
16 666 1.638
16 672 2.834
16 718 2.352
16 770 1.746
16 787 8.875
17 2 5.853
17 9 2.738
17 13 1.725
17 78 4.569
17 103 0.619
17 159 2.5
17 163 0.034
17 188 10.879
17 194 0.204
17 202 4.281
17 205 2.264
17 222 3.441
17 301 0.175
17 309 4.822
17 315 5.175
17 338 1.704
17 349 4.783
17 395 3.762
17 426 6.353
17 466 2.396
17 481 2.009
17 487 1.79
17 541 6.697
17 556 4.509
17 577 2.786
17 584 3.682
17 585 2.249
17 597 2.571
17 635 3.044
17 660 6.378
17 688 4.913
17 691 8.301
17 699 0.134
17 753 3.53
17 784 5.162
18 12 3.866
18 17 2.818
18 31 0.462
18 32 3.034
18 44 4.063
18 62 2.947
18 76 2.023
18 156 2.711
18 158 5.069
18 166 3.123
18 174 3.758
18 196 1.333
18 218 0.106
18 220 4.935
18 240 1.994
18 256 4.659
18 283 0.016
18 367 5.06
18 417 2.566
18 428 2.802
18 437 0.969
18 438 5.743
18 464 3.927
18 476 2.838
18 489 2.288
18 495 0.816
18 498 1.987
18 518 1.047
18 522 0.897
18 549 3.066
18 607 2.017
18 612 1.272
18 620 1.61
18 628 2.082
18 649 4.616
18 659 4.845
18 682 1.472
18 692 2.091
18 740 3.052
18 788 4.593
19 40 3.327
19 81 7.045
19 87 0.372
19 109 0.019
19 116 6.389
19 118 3.516
19 136 5.674
19 180 1.695
19 188 3.634
19 218 3.558
19 238 0.49
19 268 1.005
19 281 5.633
19 298 7.52
19 374 3.623
19 392 1.601
19 401 0.57
19 419 5.095
19 491 7.72
19 493 6.298
19 503 5.151
19 507 1.37
19 531 1.36
19 538 0.45
19 561 0.886
19 571 6.083
19 599 1.727
19 604 3.268
19 608 2.394
19 649 3.583
19 653 1.283
19 667 6.148
19 668 4.594
19 672 3.997
19 698 2.767
19 711 3.414
19 758 3.036
19 759 1.769
19 790 4.528
19 798 2.432
20 37 0.955
20 42 2.598
20 46 2.352
20 54 0.727
20 59 4.836
20 72 0.327
20 98 3.944
20 105 4.076
20 118 1.29
20 121 2.099
20 123 2.74
20 128 2.674
20 132 2.437
20 224 5.352
20 321 0.103
20 391 1.741
20 409 6.169
20 416 3.051
20 432 0.41
20 435 0.852
20 437 2.603
20 444 5.28
20 445 7.205
20 453 2.953
20 455 1.747
20 501 1.21
20 502 4.661
20 508 3.371
20 516 0.999
20 540 0.536
20 545 3.017
20 579 2.581
20 596 1.283
20 646 3.474
20 647 1.792
20 673 3.044
20 685 1.741
20 698 1.721
20 703 1.13
21 1 5.272
21 23 6.043
21 55 2.421
21 64 4.171
21 88 4.463
21 105 1.387
21 113 2.416
21 145 6.955
21 150 4.294
21 163 0.703
21 173 3.846
21 197 2.365
21 199 1.246
21 218 3.497
21 231 2.68
21 268 1.315
21 278 3.51
21 293 0.087
21 305 0.3
21 307 2.282
21 308 2.238
21 349 9.518
21 352 2.923
21 368 2.533
21 371 2.8
21 403 2.589
21 420 0.778
21 427 6.023
21 451 4.812
21 477 0.592
21 501 0.129
21 517 1.949
21 601 4.202
21 605 5.132
21 644 2.035
21 682 3.48
21 684 1.251
21 695 3.082
21 765 2.563
21 767 1.015
21 773 3.558
21 790 1.911
21 798 1.865
22 19 1.705
22 80 4.999
22 86 3.489
22 92 1.802
22 103 0.024
22 105 3.908
22 108 1.429
22 141 0.329
22 156 1.028
22 166 5.387
22 204 1.382
22 234 4.786
22 244 0.7
22 254 1.799
22 261 3.941
22 293 6.042
22 326 4.127
22 349 2.153
22 361 1.431
22 372 3.967
22 395 2.989
22 406 1.699
22 422 5.657
22 446 3.199
22 458 7.569
22 465 5.255
22 499 5.04
22 507 1.431
22 527 4.29
22 542 4.151
22 564 2.833
22 567 2.811
22 574 7.271
22 580 0.027
22 622 4.375
22 631 5.683
22 636 6.093
22 668 8.667
22 682 0.418
22 684 0.503
22 702 0.257
22 704 1.458
22 706 3.864
22 752 2.791
23 5 4.191
23 100 6.204
23 103 2.774
23 118 5.255
23 129 8.223
23 157 1.313
23 159 4.315
23 160 2.825
23 169 3.31
23 172 4.324
23 198 4.508
23 201 1.067
23 205 0.217
23 234 5.414
23 265 3.321
23 339 1.533
23 345 1.08
23 363 4.997
23 366 3.872
23 372 0.765
23 382 1.188
23 393 4.402
23 403 1.103
23 410 1.895
23 429 5.576
23 458 3.229
23 464 3.554
23 482 4.263
23 509 6.07
23 510 4.101
23 571 1.852
23 573 2.869
23 594 4.117
23 636 4.371
23 646 1.772
23 746 4.383
23 747 4.393
23 794 1.96
24 23 4.993
24 42 5.108
24 54 0.215
24 59 4.34
24 76 0.019
24 111 0.037
24 112 4.593
24 138 1.922
24 175 0.054
24 180 3.173
24 183 2.124
24 188 0.785
24 216 3.948
24 234 0.913
24 252 1.118
24 297 3.719
24 300 2.173
24 308 2.962
24 316 0.904
24 328 2.541
24 338 2.423
24 362 0.75
24 363 0.018
24 364 1.838
24 379 2.993
24 392 1.249
24 420 2.54
24 423 2.734
24 430 1.816
24 463 1.15
24 471 1.252
24 489 2.389
24 507 2.424
24 508 0.95
24 542 0.034
24 596 1.861
24 605 4.897
24 608 2.926
24 622 1.582
24 628 2.434
24 633 4.688
24 719 0.312
24 751 6.62
25 0 4.214
25 13 1.278
25 29 1.228
25 42 0.143
25 49 4.217
25 73 4.242
25 100 2.781
25 175 4.716
25 181 7.224
25 198 1.936
25 217 5.664
25 252 4.125
25 254 0.691
25 337 2.305
25 362 6.32
25 365 7.846
25 385 5.434
25 420 1.695
25 453 5.058
25 519 2.459
25 534 6.865
25 535 1.237
25 589 6.797
25 595 7.005
25 609 5.117
25 616 7.077
25 619 2.478
25 628 1.165
25 638 3.718
25 653 3.523
25 657 4.511
25 681 1.111
25 688 5.46
25 709 1.815
25 713 4.464
25 729 2.677
25 737 4.931
26 48 1.562
26 70 0.718
26 78 4.814
26 84 4.347
26 95 1.929
26 119 3.588
26 129 5.835
26 144 3.731
26 161 3.025
26 164 3.612
26 195 3.184
26 222 2.437
26 239 5.938
26 240 2.858
26 260 4.822
26 264 3.446
26 277 2.692
26 309 4.386
26 312 4.803
26 323 5.942
26 343 3.725
26 344 3.691
26 370 2.047
26 410 4.711
26 417 6.935
26 430 0.444
26 441 4.611
26 445 1.639
26 458 4.449
26 469 5.33
26 485 4.066
26 501 7.061
26 518 1.569
26 527 1.686
26 534 9.282
26 565 4.218
26 573 7.561
26 575 2.449
26 613 0.992
26 648 1.539
26 685 3.461
26 687 8.172
26 723 1.785
26 729 1.679
26 746 2.002
26 789 7.031
27 5 3.399
27 49 1.675
27 62 3.392
27 70 0.606
27 89 2.247
27 101 1.351
27 148 7.832
27 163 4.97
27 168 2.518
27 174 1.769
27 217 3.563
27 274 1.436
27 275 1.667
27 323 4.261
27 339 2.979
27 384 3.429
27 403 2.36
27 416 0.933
27 425 6.005
27 466 2.754
27 471 5.015
27 539 2.231
27 543 1.771
27 552 10.823
27 564 3.633
27 600 1.135
27 613 3.744
27 631 1.452
27 638 2.218
27 671 2.843
27 704 1.102
27 711 3.59
27 717 3.954
27 775 2.856
27 785 3.71
28 7 1.495
28 20 0.959
28 30 0.301
28 105 1.927
28 106 0.735
28 115 0.604
28 117 0.326
28 120 3.607
28 124 0.422
28 136 2.061
28 139 2.35
28 152 2.174
28 320 0.295
28 363 3.198
28 420 0.281
28 421 0.112
28 434 1.145
28 452 2.185
28 461 1.288
28 475 2.305
28 480 0.685
28 485 2.316
28 492 0.98
28 528 1.203
28 530 2.011
28 624 0.069
28 631 1.367
28 654 0.499
28 667 0.758
28 671 0.94
28 679 1.82
28 685 1.978
28 690 2.933
28 694 1.98
28 707 2.578
28 720 0.427
28 736 0.894
28 744 3.246
28 767 0.213
28 797 2.434
29 24 3.772
29 37 7.311
29 38 1.86
29 75 3.81
29 81 6.036
29 99 3.083
29 133 4.051
29 137 0.762
29 173 2.412
29 218 2.925
29 241 1.82
29 248 2.667
29 261 5.06
29 276 8.293
29 289 6.077
29 296 2.12
29 306 4.21
29 330 4.702
29 357 5.456
29 365 4.619
29 420 3.515
29 424 2.61
29 433 6.701
29 480 4.144
29 488 2.525
29 489 4.952
29 504 1.369
29 518 4.429
29 557 3.046
29 583 3.078
29 633 5.545
29 653 2.166
29 690 3.095
29 725 0.715
29 749 8.47
29 768 4.057
30 11 2.651
30 20 5.562
30 26 4.667
30 57 0.001
30 79 4.73
30 142 7.148
30 155 4.912
30 167 4.722
30 182 1.166
30 203 3.521
30 225 1.641
30 228 3.488
30 235 4.218
30 270 0.839
30 286 3.989
30 311 4.505
30 312 3.477
30 337 0.348
30 362 2.349
30 374 0.048
30 403 2.869
30 419 3.279
30 427 7.848
30 456 0.026
30 465 4.046
30 478 0.146
30 485 0.666
30 497 0.206
30 541 6.591
30 575 3.252
30 581 1.127
30 585 6.012
30 590 3.243
30 597 2.115
30 634 3.419
30 668 3.831
30 677 5.24
30 712 7.551
30 720 1.24
30 746 2.06
30 766 8.319
30 769 3.683
31 31 1.242
31 63 4.057
31 96 10.768
31 129 4.354
31 130 2.043
31 173 2.355
31 213 2.811
31 214 0.218
31 224 5.113
31 238 0.01
31 253 1.697
31 267 3.786
31 282 1.154
31 288 5.9
31 291 5.971
31 294 3.142
31 351 1.542
31 357 5.079
31 388 3.331
31 417 5.644
31 419 2.953
31 427 6.161
31 432 2.267
31 486 4.0
31 547 3.977
31 574 4.227
31 624 0.519
31 631 1.158
31 751 3.527
31 763 1.002
31 784 2.108
31 789 3.09
31 796 7.088
32 24 2.196
32 51 3.684
32 59 5.383
32 69 0.658
32 76 1.86
32 82 5.034
32 122 0.835
32 126 4.205
32 128 5.69
32 141 2.412
32 147 4.384
32 174 6.414
32 178 6.396
32 179 0.578
32 183 5.638
32 213 4.189
32 216 1.713
32 246 3.146
32 248 3.012
32 294 3.104
32 317 1.33
32 330 3.835
32 352 1.923
32 389 2.433
32 400 5.166
32 419 3.005
32 424 1.745
32 439 1.812
32 460 3.159
32 481 3.735
32 521 1.704
32 542 3.196
32 558 0.599
32 560 5.674
32 574 1.844
32 576 1.423
32 602 3.803
32 619 0.286
32 620 1.714
32 666 3.572
32 674 3.17
32 692 1.96
32 700 0.035
32 732 0.454
32 784 2.162
32 792 2.087
33 13 1.035
33 46 2.86
33 80 0.62
33 89 0.234
33 102 0.962
33 131 2.25
33 156 1.123
33 160 0.962
33 178 0.492
33 198 4.232
33 228 0.001
33 230 6.775
33 264 2.42
33 270 0.431
33 274 5.641
33 285 0.8
33 286 2.446
33 292 1.423
33 307 3.404
33 348 0.035
33 376 4.662
33 394 2.586
33 403 0.289
33 454 0.359
33 460 2.735
33 530 3.162
33 564 2.269
33 714 1.28
33 769 6.121
33 784 3.381
34 9 3.073
34 20 1.576
34 45 1.503
34 141 2.778
34 145 1.326
34 176 1.357
34 216 3.037
34 260 4.074
34 273 0.994
34 279 0.548
34 307 0.298
34 323 1.606
34 326 1.16
34 332 2.24
34 339 2.628
34 350 0.416
34 367 1.175
34 392 0.935
34 410 0.71
34 471 1.38
34 487 2.886
34 493 0.287
34 525 0.757
34 527 0.299
34 563 4.517
34 581 3.296
34 592 1.379
34 603 0.716
34 623 0.719
34 624 1.218
34 626 1.977
34 637 1.409
34 687 2.047
34 688 1.657
34 721 3.028
34 744 1.519
34 767 0.95
34 768 1.5
34 773 0.258
34 780 3.607
35 25 2.541
35 30 4.697
35 37 5.142
35 49 2.707
35 58 1.999
35 63 3.878
35 109 2.61
35 133 1.854
35 173 0.517
35 180 4.052
35 214 4.334
35 249 1.024
35 281 1.337
35 282 1.576
35 284 0.614
35 295 5.241
35 326 1.456
35 334 6.07
35 337 5.662
35 357 4.673
35 358 7.84
35 361 2.236
35 372 4.271
35 399 4.289
35 414 2.336
35 467 1.367
35 478 3.11
35 503 1.568
35 512 1.332
35 538 6.485
35 546 2.193
35 587 0.056
35 599 4.261
35 600 4.188
35 614 2.525
35 638 1.755
35 665 3.828
35 699 5.033
35 775 1.042
35 780 0.037
35 796 2.718
36 4 0.325
36 5 0.77
36 24 3.837
36 100 2.166
36 109 1.606
36 138 2.559
36 163 2.187
36 225 0.241
36 237 5.253
36 247 3.676
36 293 3.031
36 295 3.049
36 328 3.58
36 343 2.985
36 368 3.008
36 374 1.13
36 386 1.139
36 450 1.309
36 475 1.856
36 548 0.788
36 554 2.678
36 573 2.847
36 574 1.043
36 575 0.05
36 590 3.525
36 638 0.588
36 673 1.312
36 683 0.556
36 717 1.301
36 726 0.058
36 744 1.977
36 782 0.718
36 798 1.784
37 11 4.634
37 68 4.039
37 97 3.639
37 126 6.606
37 143 5.266
37 150 0.006
37 184 2.834
37 207 2.86
37 221 7.265
37 222 1.804
37 351 0.26
37 352 2.775
37 360 7.193
37 378 6.84
37 389 3.95
37 418 0.027
37 472 8.96
37 481 3.74
37 485 1.729
37 489 4.084
37 519 1.934
37 545 7.058
37 562 0.203
37 566 6.457
37 595 8.229
37 611 1.331
37 636 3.504
37 661 6.15
37 725 0.055
37 741 3.972
37 750 4.106
37 756 0.64
37 758 3.566
37 763 1.047
37 795 4.574
38 57 0.45
38 77 1.721
38 103 1.192
38 131 3.176
38 142 5.491
38 166 3.122
38 202 0.17
38 211 2.0
38 214 3.173
38 221 4.527
38 261 1.861
38 273 1.322
38 281 4.677
38 317 2.139
38 341 4.282
38 353 5.137
38 378 1.659
38 396 4.975
38 404 2.13
38 409 1.739
38 425 5.582
38 435 2.944
38 455 1.232
38 461 2.454
38 465 0.037
38 485 1.955
38 497 1.496
38 503 0.336
38 547 2.167
38 585 2.801
38 598 3.545
38 600 1.704
38 616 4.185
38 644 2.535
38 667 5.49
38 704 0.948
38 723 4.539
38 770 1.643
38 796 2.163
39 0 1.92
39 71 1.9
39 99 0.764
39 111 1.047
39 116 1.129
39 119 0.072
39 134 3.0
39 148 0.251
39 183 2.605
39 209 2.053
39 217 1.171
39 253 1.073
39 287 3.8
39 315 0.228
39 316 0.597
39 325 0.055
39 332 2.051
39 344 1.436
39 347 1.12
39 367 1.023
39 414 1.162
39 447 1.055
39 469 3.283
39 475 1.74
39 488 0.754
39 538 0.597
39 550 1.455
39 558 0.273
39 579 0.516
39 588 1.379
39 595 2.36
39 691 0.956
39 697 0.331
39 719 0.452
39 734 2.531
40 0 0.826
40 16 2.927
40 31 0.523
40 71 2.043
40 81 2.622
40 108 3.035
40 124 2.204
40 143 2.172
40 147 5.318
40 197 4.419
40 200 1.017
40 238 6.923
40 270 0.564
40 285 0.452
40 316 0.525
40 331 1.289
40 346 5.125
40 352 2.313
40 367 5.975
40 382 1.746
40 402 2.96
40 430 2.683
40 479 3.929
40 487 5.436
40 496 2.088
40 514 1.484
40 524 2.436
40 532 1.129
40 552 4.72
40 558 1.474
40 569 0.891
40 573 3.156
40 576 4.306
40 612 0.377
40 649 5.882
40 650 2.067
40 705 3.121
40 723 1.634
40 733 3.769
40 740 0.956
40 761 6.249
41 14 2.03
41 69 4.783
41 75 1.634
41 99 4.466
41 108 3.136
41 149 1.197
41 151 4.485
41 179 6.147
41 217 1.025
41 225 0.162
41 234 2.337
41 253 3.464
41 254 1.39
41 257 4.063
41 285 1.546
41 286 2.813
41 319 2.575
41 374 1.344
41 382 2.423
41 397 0.943
41 405 4.425
41 420 2.792
41 467 1.333
41 486 1.297
41 510 2.957
41 525 0.211
41 529 3.31
41 532 0.63
41 536 6.827
41 549 2.158
41 611 0.146
41 617 1.962
41 622 3.269
41 628 0.852
41 673 6.638
41 724 1.926
41 747 3.676
41 767 0.706
42 30 2.877
42 78 1.287
42 93 4.309
42 99 2.926
42 102 8.075
42 103 1.328
42 124 1.171
42 125 0.292
42 129 4.484
42 154 4.986
42 165 1.488
42 179 6.318
42 238 3.802
42 243 1.469
42 247 0.644
42 249 1.63
42 251 0.047
42 343 4.551
42 344 2.029
42 349 0.627
42 374 3.643
42 375 0.245
42 391 3.799
42 409 5.112
42 441 4.234
42 476 2.274
42 499 3.619
42 539 5.258
42 542 0.236
42 552 2.145
42 568 0.54
42 577 2.846
42 617 1.777
42 627 2.885
42 672 1.29
42 675 0.521
42 686 4.527
42 695 0.231
42 705 7.698
42 726 3.988
42 745 3.128
43 2 4.807
43 13 0.335
43 22 1.756
43 27 1.859
43 29 1.941
43 41 2.487
43 55 1.45
43 83 2.914
43 101 1.448
43 125 0.012
43 142 1.294
43 169 1.523
43 207 6.089
43 208 0.036
43 236 2.404
43 242 0.621
43 258 0.806
43 325 0.859
43 338 3.75
43 369 1.987
43 376 3.906
43 379 1.173
43 407 1.898
43 438 3.03
43 499 2.897
43 528 1.701
43 549 2.401
43 638 1.894
43 652 4.167
43 660 6.853
43 672 2.989
43 681 4.659
43 694 2.696
43 697 0.49
43 700 2.679
43 708 2.975
43 713 0.777
43 784 2.4
44 14 0.803
44 86 4.272
44 87 3.415
44 131 0.869
44 136 0.935
44 153 0.143
44 251 4.946
44 257 6.955
44 293 6.312
44 335 0.543
44 359 1.806
44 374 5.029
44 406 2.433
44 425 1.914
44 426 4.254
44 430 2.545
44 439 3.586
44 441 2.305
44 444 4.21
44 453 1.896
44 472 0.031
44 487 4.529
44 489 3.755
44 504 1.039
44 515 0.998
44 536 3.378
44 537 2.058
44 542 2.132
44 582 1.349
44 590 2.367
44 594 4.354
44 597 1.658
44 685 4.806
44 686 2.416
44 695 1.331
44 698 0.476
